x_norm, y_norm, dis_pks, x_mm, y_mm, dis_mm 
-810, -180, 829.7590011563599, -177, 40, 181.46349495146399
-819, -177, 837.9081095203697, -182, 40, 186.34376834227646
-827, -174, 845.1065021640763, -187, 40, 191.23022773609824
-834, -171, 851.3501042461909, -192, 40, 196.1224107541002
-841, -168, 857.6158813828018, -197, 40, 201.0198995124612
-847, -166, 863.1135498878465, -202, 40, 205.92231544929754
-853, -164, 868.6224726542596, -207, 40, 210.8293148497144
-858, -162, 873.159779192789, -212, 40, 215.7405849625888
-864, -158, 878.3279569727927, -217, 40, 220.6558406206371
3, -318, 318.014150628553, 0, 45, 45.0
-16, -319, 319.4010018769509, -2, 45, 45.044422518220834
-50, -319, 322.89471968429586, -7, 45, 45.5411901469428
-86, -319, 330.3891644712338, -12, 45, 46.57252408878007
-124, -319, 342.2528305215313, -17, 45, 48.104053883222775
-153, -319, 353.79372521287036, -22, 45, 50.08991914547278
-185, -318, 367.89808371341104, -27, 45, 52.478567053607705
-219, -314, 382.8276374558138, -32, 45, 55.21775076911409
-253, -315, 404.02227661355505, -37, 45, 58.25804665451803
-285, -314, 424.0530627173915, -42, 45, 61.554853586049575
-317, -310, 443.3835811123366, -47, 45, 65.06919393998976
-349, -307, 464.81178986768396, -52, 45, 68.76772498781678
-382, -303, 487.57871159434353, -57, 45, 72.62231062146122
-409, -296, 504.8732514205917, -62, 45, 76.60939890117922
-438, -292, 526.4104862177425, -67, 45, 80.7093550959243
-465, -287, 546.4375536143174, -72, 45, 84.90583018850944
-491, -283, 566.7186250689138, -77, 45, 89.1852005660132
-514, -279, 584.8392941654998, -82, 45, 93.53608929178085
-537, -275, 603.3191526878622, -87, 45, 97.94896630388705
-559, -270, 620.7906249292107, -92, 45, 102.41581909060729
-579, -267, 637.5970514360931, -97, 45, 106.92988356862641
-600, -262, 654.7090957058715, -102, 45, 111.48542505637228
-618, -257, 669.3078514405759, -107, 45, 116.0775602776006
-636, -254, 684.8445078994209, -112, 45, 120.70211265756701
-654, -250, 700.1542687151168, -117, 45, 125.35549449465708
-670, -244, 713.0469830242605, -122, 45, 130.034610777285
-686, -241, 727.1017810458176, -127, 45, 134.73678042761748
-700, -237, 739.0324756057747, -132, 45, 139.4596715900335
-716, -231, 752.3410131050945, -137, 45, 144.20124826089406
-728, -228, 762.868271721927, -142, 45, 148.95972610071487
-740, -224, 773.1597506337225, -147, 45, 153.73353570382747
-754, -221, 785.7206882856019, -152, 45, 158.52129194527782
-765, -218, 795.4552155841333, -157, 45, 163.3217682980441
-778, -213, 806.6306465787176, -162, 45, 168.13387523042465
-789, -209, 816.2119822693122, -167, 45, 172.9566419655516
-799, -206, 825.1284748449783, -172, 45, 177.78920102188434
